location,locationType,state,lat,lon,count
Palace of Fine Arts,Place of Interest,California,37.80291855,-122.44840286435301,67
"Cameron, South Carolina",City,South Carolina,33.557654600000006,-80.7145341,1
The Venetian Resort Las Vegas,Travel,Nevada,36.183938,-115.320301,101
Rockefeller Center,Place of Interest,New York,40.75925755,-73.9799568611638,104
Fort Niagara State Park,Natural Attraction,New York,43.261473200000005,-79.0541281840535,1
"Jackson Hole, Wyoming",City,Wyoming,43.684103,-110.44362483445299,2
Willis Tower,Place of Interest,Illinois,41.8788717,-87.63590893936448,28
Lower Antelope Canyon,Natural Attraction,Arizona,36.903130700000006,-111.41343710000001,130
Hollywood Bowl,Neighborhood,California,34.1121836,-118.33927736164101,14
"South Lake Union, Seattle",Natural Attraction,Washington,47.623161100000004,-122.33838159999999,1
The Monument Valley,Natural Attraction,Arizona,36.9820026,-110.1108327,2
Las Vegas Boulevard,Neighborhood,Ohio,40.13761220000001,-82.98756750000001,17
"Georgetown, Colorado",City,Colorado,39.706226799999996,-105.69712520000002,3
Googleplex,Place of Interest,California,37.41897865,-122.082377939894,15
Empire State Building,Place of Interest,New York,40.7484284,-73.9856546198733,206
In-N-Out Burger,Restaurant,California,37.6996265,-121.0676013,58
"Key West, Florida",City,Florida,24.5625566,-81.77243680000001,138
"Beverly Hills, California",City,California,34.0696501,-118.3963062,144
Walt Disney World,Place of Interest,Florida,28.4057598,-81.5834365,23
"Fremont, California",City,California,37.548269700000006,-121.98857190000001,6
Statue of Liberty National Monument,Place of Interest,New York,40.68981375,-74.0451390334562,123
Arches National Park,Natural Attraction,Utah,38.7315573,-109.563027817151,91
Liberty State Park,Natural Attraction,New Jersey,40.70130985,-74.052641738423,12
The Wizarding World of Harry Potter,Place of Interest,California,34.138804799999996,-118.35459709999999,36
Twin Peaks (San Francisco),Place of Interest,California,37.75464,-122.44648000000001,38
"Wailea-Makena, Hawaii",City,Hawaii,20.65536745,-156.43148290338002,1
"Chelsea, Manhattan",Neighborhood,New York,40.7464906,-74.00152829999999,14
"Oatman, Arizona",City,Arizona,35.026391499999995,-114.38356979999999,11
"Morro Bay, California",City,California,35.3658075,-120.8499013,13
"Shiloh, Tennessee",City,Tennessee,36.4820358,-83.09933659999999,1
"Murfreesboro, Tennessee",City,Tennessee,35.845999,-86.3920452,2
San Francisco Ferry Building,Place of Interest,California,37.7955348,-122.393430182553,31
Powell Street station,Neighborhood,Oregon,45.49798175,-122.580911486369,2
Pacific Coast Highway,Place of Interest,California,33.7513972,-118.10607549999999,21
"Grand Canyon, Arizona",City,Arizona,36.0965604,-112.09849409999998,52
Vermont,State,Vermont,44.5990718,-72.5002608,5
"Carmel, California",City,California,38.75511285,-121.353308948273,15
Sabino Canyon National Park,Natural Attraction,Arizona,32.4433345,-110.76003770000001,2
Saguro National Park,Natural Attraction,Arizona,32.6705854,-114.4052537,1
La Jolla Beach San Diego California,Natural Attraction,California,32.83259,-117.27168390000001,16
Yosemite Valley,Natural Attraction,California,37.734435,-119.60646740000001,3
"Williams, California",City,California,39.154613700000006,-122.1494187,1
Louisiana,State,Louisiana,30.8703881,-92.007126,6
Arizona,State,Arizona,34.395342,-111.76327549999999,82
Red Rock State Park,Natural Attraction,New Mexico,35.541899799999996,-108.6116143,5
"Palm Beach, Florida",City,Florida,26.627979800000002,-80.44941740000002,6
"Hackberry, Arizona",City,Arizona,35.3691614,-113.7271643,6
"Seligman, Arizona",City,Arizona,35.325385700000005,-112.88002350000001,26
"Bellevue, Washington",City,Washington,47.614421899999996,-122.1923372,7
"Malibu Beach, California, Los Angeles",Natural Attraction,California,34.032786200000004,-118.6884215,1
"Crookton, Arizona",City,Arizona,35.295285799999995,-112.7079563,1
"Ash Fork, Arizona",City,Arizona,35.216333,-112.49138580381901,3
National Museum of American History,Place of Interest,District of Columbia,38.89122625,-77.030003818471,14
"Picture Rocks, Pennsylvania",City,Pennsylvania,41.2798029,-76.71301159999999,1
"Manhattan Beach, Manhattan Beach, California",Natural Attraction,California,33.8909893,-118.416169333627,1
"Folsom, California",City,California,38.6779591,-121.17605829999998,2
"Dumbo Boulders, Manhattan Bridge",Neighborhood,New York,40.7041833,-73.989163,2
Santa Monica Pier,Neighborhood,California,34.0104863,-118.4960635,270
Lake Tahoe,Natural Attraction,California,39.0885405,-120.05035277301701,21
"Williams, Arizona",City,Arizona,35.250339399999994,-112.1869481,28
"Seattle, Washington",City,Washington,47.6038321,-122.3300624,156
Hyatt Centric Fisherman's Wharf San Francisco,Neighborhood,California,37.80586105,-122.416132615338,1
"Tucson, Arizona",City,Arizona,32.2218917,-110.92623529999999,10
"Flagstaff, Arizona",City,Arizona,35.199458,-111.6514259,27
Lake Hollywood Park,Neighborhood,California,34.125393,-118.3261119,11
The Signature Room at the 95th,Restaurant,Illinois,41.898826899999996,-87.62317759999999,10
"Valle, Arizona",City,Arizona,35.652956599999996,-112.1385217,4
Lovers Key State Park,Natural Attraction,Florida,26.3913095,-81.8781064050014,2
"Sour Lake, Texas",City,Texas,30.140212199999997,-94.4110239,1
Valley of Fire State Park,Natural Attraction,Nevada,36.4987691,-114.519418907281,36
"Yuma, Arizona",City,Arizona,32.665135,-114.476031572498,2
"Wildwood, New Jersey",City,New Jersey,38.9917797,-74.81488940000001,5
ONE WORLD OBSERVATORY,Place of Interest,New York,40.7130229,-74.0130534,31
Venice Beach,Neighborhood,Florida,27.1000553,-82.45759670000001,111
The Last Bookstore,Place of Interest,California,34.047668200000004,-118.24972279999999,10
"Joshua Tree, California",City,California,34.12652620000001,-116.32093491214899,22
"San Diego, California",City,California,32.7174209,-117.16277140000001,184
"Sevenmile Corner, North Dakota",City,North Dakota,48.8944763,-102.5460037,1
"Kaibito, Arizona",City,Arizona,36.5972691,-111.07629409999998,1
"Woodstock, Vermont",City,Vermont,43.6244967,-72.518794,2
Monument Valley Navajo Tribal Park,Natural Attraction,Arizona,36.9369193,-110.09318490000001,79
"Baltimore, Maryland",City,Maryland,39.2908816,-76.610759,40
Forrest Gump Point,Place of Interest,Utah,37.1005816,-109.99211319999999,13
"Mexican Hat, Utah",City,Utah,37.1482695,-109.86143829999999,9
River Walk,Natural Attraction,California,38.57642745,-121.512769638684,3
Kerry Park,Neighborhood,Washington,47.62936405,-122.35989575038201,18
Lombard Street,Neighborhood,California,37.802076,-122.4188091,103
"Reedville, Virginia",City,Virginia,37.84207429999999,-76.2757772,2
"Silicon Valley, California",City,California,37.4429964,-122.1545229,2
"Celebration, Florida",City,Florida,28.312333000000002,-81.5540860880923,1
Griffith Observatory,Place of Interest,California,34.11821875,-118.300293321966,170
La Brea Tar Pits and Museum,Place of Interest,California,34.063862,-118.355352,2
"Woody, California",City,California,35.704119899999995,-118.834259,1
"Mono Lake, Ca",Natural Attraction,California,38.00790545,-118.96756824798099,2
Four Seasons Hotel Las Vegas,Travel,Nevada,36.09167539999999,-115.17449950000001,1
"Santa Barbara, California",City,California,34.4221319,-119.7026673,74
Atlanta Botanical Garden,Natural Attraction,Georgia,33.791082200000005,-84.3732295172038,17
Upper East Side,Neighborhood,New York,40.7737016,-73.9641196,10
Michael C. Carlos Museum,Place of Interest,Georgia,33.79047429999999,-84.324152173471,3
"Barstow, California",City,California,34.8957684,-117.0172077,4
Death Valley National Park,Natural Attraction,California,36.4914385,-117.102293607719,216
"Jersey City, New Jersey",City,New Jersey,40.7281575,-74.0776417,30
Alamo Square,Place of Interest,California,37.77635720000001,-122.43469357074301,20
Facebook HQ,Place of Interest,California,37.4831486,-122.15002820000001,22
Capitol Reef National Park,Natural Attraction,Utah,38.06702855,-111.15525624854601,13
IHOP,Restaurant,Illinois,41.6199703,-87.85420822616409,16
"Fruita, Utah",City,Utah,38.285535499999995,-111.24683600000002,2
Stearns Wharf,Neighborhood,California,34.4119407,-119.68883970000002,10
"Park City, Utah",City,Utah,40.646063500000004,-111.4979741,6
"Kansas City, Missouri",City,Missouri,39.100105,-94.5781416,11
La Jolla Cove,Natural Attraction,Texas,32.020294,-102.162474,31
"Central Park, Manhattan, New York City",Natural Attraction,New York,40.7838476,-73.9645715841571,16
"DUMBO, Brooklyn",Neighborhood,New York,40.702905200000004,-73.9901167,110
Mondrian South Beach,Natural Attraction,Florida,25.7819434,-80.142523,4
Route 66,Place of Interest,California,34.128850899999996,-117.8386405,31
"Long Beach, California",City,California,33.7690164,-118.1916048,40
"Grover, Utah",City,Utah,38.2280366,-111.34989569999999,1
"Hoboken, New Jersey",City,New Jersey,40.7433066,-74.0323752,43
"Daggett, California",City,California,34.8634166,-116.8880324,1
Escalante Petrified Forest State Park,Natural Attraction,Utah,37.79142375,-111.616582282474,1
"Orlando, Florida",City,Florida,28.5421097,-81.37903879999999,67
"Dana Point, California",City,California,33.4669721,-117.69810749999999,5
Grand Canyon Western Ranch,Natural Attraction,Arizona,36.0965604,-112.09849409999998,2
Maine,State,Maine,45.709097,-68.8590201,3
"Downtown Dallas, Texas",City,Texas,32.7797876,-96.7980118,1
Westgate Cocoa Beach Pier,Natural Attraction,Florida,28.36775075,-80.60179673258791,4
"Boston, Massachusetts",City,Massachusetts,42.3602534,-71.0582912,254
Hollywood,Neighborhood,California,34.093214,-118.31961240000001,106
Grand Canyon Mather Point,Natural Attraction,Arizona,36.061649700000004,-112.1079462,4
Top of the Rock NYC,Place of Interest,New York,40.7590344,-73.9793952,35
"Indian Wells, California",City,California,33.7217965,-116.3383034,3
National Civil Rights Museum,Place of Interest,Tennessee,35.1345797,-90.0574730814725,2
"Portland, Oregon",City,Oregon,45.5202471,-122.6741949,61
Blue Spring State Park,Natural Attraction,Florida,28.945088399999996,-81.339220575,3
"Daytona Beach, Florida",City,Florida,29.2108147,-81.02283309999999,12
"Daytona International Speedway, Florida",City,Florida,29.18400735,-81.0703208765716,1
World Trade Center Memorial,Place of Interest,Idaho,43.6176351,-116.2240332,1
Disney California Adventure Park,Place of Interest,California,33.8063981,-117.919949858596,91
"Miami Beach, Florida",City,Florida,25.7929198,-80.1353006,185
Disneyland,Place of Interest,California,33.8136476,-117.91971569947701,61
Washington Dulles International Airport,Travel,Virginia,38.9522097,-77.45342429377541,23
"Sugarhouse, Salt Lake City",Natural Attraction,Utah,40.7224153,-111.8515388,1
"South Lake Tahoe, California",City,California,38.933241100000004,-119.98434820000001,55
Upper Antelope Canyon,Natural Attraction,Arizona,36.8625576,-111.3746738,12
Wynwood Walls,Place of Interest,Florida,25.8012267,-80.19512579999999,20
Centennial Olympic Park,Place of Interest,Georgia,33.7600812,-84.39345547300749,11
Target Store Lakeville,Natural Attraction,Minnesota,44.6843278,-93.291276646475,1
"Miami, Florida",City,Florida,25.7742658,-80.1936589,126
The Desmond Hotel Albany,Travel,New York,42.728309499999995,-73.798623322849,1
"Union Square, San Francisco",Neighborhood,California,37.7879363,-122.40751740318001,96
Chicago O'Hare International Airport,Travel,Illinois,41.977984899999996,-87.9093214128281,31
Minnewaska State Park,Natural Attraction,New York,41.711551799999995,-74.3040067379541,6
Balboa Park,Neighborhood,California,37.72494875,-122.44480452415199,23
New Mexico,State,New Mexico,34.5708167,-105.993007,7
"Sequoia National Park, California",City,California,36.49584065,-118.559919384386,99
Disney's Hollywood Studios,Neighborhood,Florida,28.3572521,-81.5606174711873,27
Memphis Zoo,Place of Interest,Tennessee,35.15043265,-89.9928504192604,1
"Jefferson City, Missouri",City,Missouri,38.577359,-92.1724265,1
Utah,State,Utah,39.4225192,-111.71435840000001,56
Ellis Island,Place of Interest,New Jersey,40.69859355,-74.04201353264129,14
Kings Canyon National Park,Natural Attraction,California,36.91527845,-118.607655859626,11
"Centralia, Missouri",City,Missouri,39.2103186,-92.13795390000001,2
"Manitowoc, Wisconsin",City,Wisconsin,44.0886059,-87.6575841,1
"Echo Lake,",Natural Attraction,California,38.834515,-120.0442977,1
"Memphis, Tennessee",City,Tennessee,35.1490215,-90.0516285,19
"Burlington, Vermont",City,Vermont,44.4762975,-73.21354720000001,2
"Errol, New Hampshire",City,New Hampshire,44.781835,-71.138535,1
"Norway, Maine",City,Maine,44.214202,-70.545273,1
"Portland, Maine",City,Maine,43.6610277,-70.25485959999999,23
"Bedford, New Hampshire",City,New Hampshire,42.946473700000006,-71.5159015,1
"North Conway, New Hampshire",City,New Hampshire,44.0536805,-71.1284041,1
"Marshfield, Vermont",City,Vermont,44.3513146,-72.35350809999998,1
"Stowe, Vermont",City,Vermont,44.465374100000005,-72.6860186,4
"Fort Myers Beach, Florida",City,Florida,26.452024800000004,-81.948145,6
Downtown Cape Coral,Neighborhood,Connecticut,41.3578671,-72.111659,1
"Cape Coral, Florida",City,Florida,26.6059432,-81.9806771,3
"Salt Lake City, Utah",City,Utah,40.7670126,-111.89043079999999,41
"New York City, N.Y.",City,New York,40.7127281,-74.0060152,4
"Houston, Texas",City,Texas,29.7589382,-95.36769740000001,37
"Lehi, Utah",City,Utah,40.3880902,-111.8491619,1
"Vicksburg, Mississippi",City,Mississippi,32.3528418,-90.8777342,1
The Chicago Theatre,Place of Interest,Illinois,41.8854984,-87.62726118993479,21
"Cleveland, Ohio",City,Ohio,41.5051613,-81.6934446,17
"Matlacha Island, Florida",City,Florida,26.6297958,-82.0709245,4
"Struthers, Ohio",City,Ohio,41.055945,-80.589712,9
"Sedona, Arizona",City,Arizona,34.8696661,-111.7611616,57
"Midway, Utah",City,Utah,40.512187299999994,-111.47435449999999,1
"Los Angeles, Hollywood, Walk of Fame",Neighborhood,California,34.1016624,-118.3418479,2
Chicago Riverfront,Neighborhood,Illinois,41.9485028,-87.6963708,1
Madame Tussauds New York,Place of Interest,New York,40.7562126,-73.98843804512991,21
"St. George, Utah",City,Utah,37.104153000000004,-113.58413130000001,2
New Hampshire,State,New Hampshire,43.484913299999995,-71.6553992,4
St. Louis,City,Missouri,38.6268039,-90.1994097,15
"Hollywood Walk of Fame- Los Angeles, California",City,California,34.102039700000006,-118.33066529999999,2
"Canyon, Yellowstone National Park, Wy",Natural Attraction,Wyoming,44.6200885,-110.560757459431,1
Valley of Fire,Place of Interest,Nevada,39.5303776,-119.7133061,21
Grand Canyon South Rim,Natural Attraction,Arizona,36.0657643,-112.11797949999999,45
Watkins Glen State Park,Natural Attraction,New York,42.36149755,-76.92884982495801,10
Whirlpool State Park,Natural Attraction,New York,43.12086615,-79.0643545952992,2
Yellowstone National Park,Natural Attraction,Wyoming,44.6200885,-110.560757459431,90
"Lynchburg, Tennessee",City,Tennessee,35.2831727,-86.3739827,4
Downtown Salt Lake City,Neighborhood,Utah,40.7646032,-111.89525775,3
Millennium Park,Place of Interest,Illinois,41.88255720000001,-87.6225003045427,69
World Trade Center,Place of Interest,New York,40.7118914,-74.01261290000001,42
Everglades National Park,Natural Attraction,Florida,25.3870275,-80.8802631659629,23
Shenandoah National Park,Natural Attraction,Virginia,38.47182975,-78.4638532373926,7
Chicago Downtown,Neighborhood,Illinois,41.881644,-87.63209480891291,10
Glacier National Park,Natural Attraction,Montana,48.6174862,-113.760885059458,6
Bryant Park Grill,Natural Attraction,New York,40.7532049,-73.9829323,1
"Grand Canyon, Arizona, United States",Natural Attraction,Arizona,36.0965604,-112.09849409999998,48
"Torrey Pines, California",City,California,32.8919572,-117.2402554,1
The Mirage Hotel and Casino,Travel,Nevada,36.12123945,-115.175756254956,20
"Seal Rock, Oregon",City,Oregon,44.498861,-124.0807972,1
"Riverside, California",City,California,33.953354600000004,-117.39616229999999,2
Hollywood Sign,Place of Interest,California,34.13409910000001,-118.32165230000001,132
"Page, Arizona",City,Arizona,36.9148305,-111.4572942,34
The Bean,Place of Interest,Illinois,41.8826726,-87.62331460868731,33
"Central Park, New York",City,New York,40.7838476,-73.9645715841571,10
"Venice Beach, Los Angeles",Neighborhood,California,33.9796472,-118.468563095478,13
Joshua Tree National Park,Natural Attraction,California,33.89706715,-115.951115788683,69
Navy Pier,Neighborhood,Illinois,41.89187955,-87.6041347248327,41
Faena Miami Beach,Natural Attraction,Florida,25.80737845,-80.1231390553675,4
"Solvang, California",City,California,34.595857200000005,-120.1390894,29
"Barnardsville, North Carolina",City,North Carolina,35.777612,-82.4548511,1
"Los Angeles, Venice Beach",Neighborhood,California,33.9796472,-118.468563095478,41
Hollywood Sign View Point,Place of Interest,California,34.13409910000001,-118.32165230000001,27
Grand Canyon West,Natural Attraction,Arizona,35.98605035,-113.820791822017,40
"Conway, Arkansas",City,Arkansas,35.0886963,-92.44210109999999,1
The San Antonio River Walk,Natural Attraction,Texas,29.42327155,-98.49179042933491,21
"Grand Canyon, Az",Natural Attraction,Arizona,36.0965604,-112.09849409999998,1
Trump International Hotel & Tower Chicago,Travel,Illinois,41.88890145,-87.6264253897545,9
"Oak Alley, Louisiana",City,Louisiana,29.9868696,-90.77064809999999,2
San Francisco International Airport (SFO),Travel,California,37.6164717,-122.39046429999999,58
Santa Monica Boulevard,Neighborhood,California,34.092536200000005,-118.2811544,1
"West Dennis, Massachusetts",City,Massachusetts,41.6367203,-70.1680826844629,1
"Twentynine Palms, California",City,California,34.1356915,-116.0543506,2
Pebble Beach 17 Mile Drive,Natural Attraction,California,36.5745667,-121.91283419999999,6
"Aspen, Colorado",City,Colorado,39.1911128,-106.8235606,6
"South Beach, Miami, Florida",Natural Attraction,Florida,25.774429100000003,-80.1332415,6
Las Vegas Sign,Place of Interest,Nevada,36.0820568,-115.17277409127199,12
Manhattan Bridge,Natural Attraction,New York,40.71391320000001,-73.99416579999999,24
"Chinatown, San Francisco",Neighborhood,California,37.7943011,-122.4063757,5
"Palm Desert, California",City,California,33.7288179,-116.38257109999999,2
"Davis, California",City,California,38.545379,-121.74458349999999,1
Bourbon Street New Orleans,Neighborhood,Louisiana,29.959433399999998,-90.0649002,4
"Buffalo, New York",City,New York,42.8867166,-78.87839220000001,16
"Justiceburg, Texas",City,Texas,33.0478766,-101.2062416,1
"Jackson, Wyoming",City,Wyoming,43.474320500000005,-110.76609099009899,3
Lower Yosemite Fall,Natural Attraction,California,37.7514442,-119.5971408,2
"Dayton, Tennessee",City,Tennessee,35.49395870000001,-85.0124535,5
"Panama City Beach, Florida",City,Florida,30.1765914,-85.8054879,9
"Eden Prairie, Minnesota",City,Minnesota,44.8546856,-93.470786,1
"Yosemite Valley, California",City,California,37.734435,-119.60646740000001,7
"Half Dome, Yosemite National Park",Natural Attraction,California,37.74175770000001,-119.5663253873,1
"Bass Lake, California",City,California,37.3246665,-119.5662539,2
"San Bruno, California",City,California,37.6304904,-122.41108349999999,2
The Grand Canyon Skywalk,Natural Attraction,Arizona,36.012025200000004,-113.81104678059201,1
"Klamath Falls, Oregon",City,Oregon,42.224866999999996,-121.78167040000001,2
Downtown Seattle,Neighborhood,Washington,47.6048723,-122.3334582,10
John F. Kennedy International Airport,Travel,New York,40.642947899999996,-73.7793733748521,42
"Cape May, New Jersey",City,New Jersey,39.1765386,-74.80121190000001,3
Texas,State,Texas,31.8160381,-99.51209859999999,5
Soho New York,Neighborhood,New York,40.722879999999996,-73.9987505,6
